SMILES,logBCF
O=C(OCC)C(c1ccccc1)SP(OC)(OC)=S,1.8
CC(=CC1C(C1(C)C)C(=O)OCc1cccc(c1)Oc1ccccc1)C,2.62
O=P(OC(C)C)(OC(C)C)SCc1ccccc1,0.97
n1c3ccccc3(cc2ccccc12),2.25
O=S(=O)(Oc1ccc2OC(OCC)C(c2(c1))(C)C)C,2.16
CCNc1nc(NC(CC)C)nc(n1)OC,1.2
O(c1ccc(N)cc1)c2c(cc(cc2Cl)Cl)Cl,1.95
CC(c1ccccc1OC(=O)NC)C,0.82
N#Cc1ccc(OP(OC)(OC)=S)cc1,1.56
CCOP(=S)(OCC)SCN1C(=O)C2=CC=CC=C2N=N1,2.27
O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3C,2.51
O=C1C=CSN1CCCCCCCC,2.22
O=S(=O)(O)c2cccc1cc(ccc12)Cc4ccc3c(cccc3S(=O)(=O)O)c4,1
Cc1cc(cc(c1)OC(=O)NC)C,0.35
c1cc(ccc1Nc2ccc(cc2)CCCCCCCC)CCCCCCCC,1.54
O=C(c1ccccc1)Nc1c(ccc(c1)N(CCOC(=O)C)CCOC(=O)C)N=NC1=Nc2ccc(cc2S1)Cl,1.22
O=CNC(N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,0
Oc1c(OC)cc(c(c1Cl)Cl)Cl,2.07
Oc1c(cc(cc1C(C)(C)C)c1ccccc1)C(C)(C)C,3.88
O=C(c1c(cccc1)C(=O)OCCCCCCCC(C)C)OCCCCCCCC(C)C,1.01
O=C(OCCO)CCCCCCCCCCCCCCCCCCCCCCCCCCC,1.27
c1ccc(cc1)Cc2ccc(c(c2)C)Cc3ccccc3,4
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,-0.3
O=P(Oc1ccc(cc1)C(C)C)(Oc1ccc(cc1)C(C)C)Oc1ccc(cc1)C(C)C,1.46
O=C1C(=C(C=NN1c2cccc(c2)C(F)(F)F)NC)Cl,1.45
CC(CCCCCCCCCCO)C,2.73
c1ccc[n+]2c1c1[n+](cc2)cccc1,0.76
Clc1c(ccc(c1)Cl)Oc1c(cc(cc1)Cl)Cl,4.14
CCc1ccccc1C=C,2.69
CC(C1=NC(=O)C=C(N1)C)C,0.11
O=C(N(CC)CC)SCc1ccc(cc1)Cl,2.25
O=C(C(CC(=O)O)CCCCCCCCC=CCCCCCCCC)O,0.22
O=C1OC3(C(OC(=O)CC(C)(C)C)=C1c2c(cc(cc2C)C)C)(CCCC3),2.74
c1cc(cc(c1)CC)c2cccc(c2)CC,3.76
C1(=C(C2(C(=C(C1(C2)Cl)Cl)Cl)Cl)Cl)Cl,3.81
C1=CC2(C(C1(C(C2(Cl)Cl)(Cl)Cl)Cl)Cl)Cl,4.05
CCCCCCCCCCCCCCCCCCS,-0.04
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)C(=C(Cl)Cl)Cl,3.91
n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl,3.1
c1ccc2c(c1)cccc2C(C)C,2.78
Clc1cc2c(cc1Cl)Oc1c(cccc1)O2,2.88
C1CCCCCCCCCCC1,3.95
CC(C1C2C(CCC1)CCCC2)C,3.58
O=P(Oc1ccccc1)(Oc1ccccc1)OCCCCCCCC(C)C,2.73
O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1,1.89
O(CC)P(OCC)(=S)SCSCC,2.68
O(CC)P(OCC)(=S)SCCSCC,2.48
O(CC)P(OCC)(=S)S,0.45
OP(=O)(OCC(CCCC)CC)OCC(CCCC)CC,0.62
O(c1cc(c(cc1Cl)Cl)Cl)P(OC)(OC)=S,3.58
COP(=O)(OC(C(Br)(Cl)Cl)Br)OC,0.93
OC(c1ccc(cc1)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl,3.95
O(c1cc(c(c(c1)Br)Br)C)CC2OC2,1.11
O=C(NP(=O)(OC)SC)C,-1.52
O=P(O)(O)OCC(Cl)(Cl)Cl,0.08
Clc1c(c(c(c2c1Oc1c(cccc1)O2)Cl)Cl)Cl,3.48
CCCCC(C)C(C)C,3.32
OC(=O)C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,4.31
COCN(c1nc(nc(n1)N(COC)COC)N(COC)COC)COC,0.32
ClC12C(=C(C(C3C2C2C=CC3C2)(C1(Cl)Cl)Cl)Cl)Cl,3.82
FC(N(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F,1.3
O=C1NC(=C(C(=O)N1C(C)CC)Br)C,0.6
Clc1c(cc(c(c1)Cl)Cl)c1ccc(c(c1)Cl)Cl,4.38
O=C(Oc1cc(c(c(c1)C)N(C)C)C)NC,1.42
FC(F)(F)c1ccc(cc1Cl)Cl,3.37
O=[N+]([O-])c1cccc(c1Cl)Cl,2.16
BrCC(CBr)(CBr)CBr,2.17
Clc1c(ccc(c1)Cl)c1cc(c(cc1)Cl)Cl,4.56
c1cc(c(cc1c2cc(ccc2Cl)Cl)Cl)Cl,5.08
Clc1c(ccc(c1)c1cc(c(cc1)Cl)Cl)Cl,4.35
Clc1c(c(ccc1c1cc(c(cc1)Cl)Cl)Cl)Cl,4.28
ClCCOC(c1ccccc1)c1ccccc1,2.6
O1c3c(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl,3.12
c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2)Cl)Cl)Cl,5.97
O=[N+]([O-])c2ccc(Oc1ccc(cc1Cl)Cl)cc2(OC),3.59
FC(F)(F)c1ccc(c(c1)Cl)Cl,3.18
OCC(CO)(CBr)CBr,0.42
Clc1c(ccc(c1)NC(=O)N(C)C)Cl,0.95
Clc1c(ccc(c1)NC(=O)N(OC)C)Cl,1.27
N(=CN(C=Nc1ccc(cc1C)C)C)c2ccc(cc2C)C,3.26
O=C(c1c(ccc(c1)C(=O)OCC(CCCC)CC)C(=O)OCC(CCCC)CC)OCC(CCCC)CC,0.6
Clc1c(cc(c(c1Cl)Cl)Cl)c1ccccc1,4.39
Clc1c(c(c(cc1Cl)Cl)Cl)c1ccccc1,4.71
n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C,1.8
O=C(OC)NS(=O)(=O)c1ccc(N)cc1,-0.12
O1c3cc(cc(c3(Oc2c1cc(cc2Cl)Cl))Cl)Cl,3.76
N#CC2=C(C#N)SC=1C(=O)c3ccccc3(C(=O)C=1S2),1.43
FC(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F,3.12
OC(=O)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,2.65
O(c1ccccc1)P(OC)(OC)=S,1.89
O=[N+]([O-])c1cc(cc(c1(NC(C)CC))[N+](=O)[O-])C(C)(C)C,3.29
Oc1cc(ccc1Oc1c(cc(cc1)Cl)Cl)Cl,1.7
Clc1cc2c(cc1)Oc1c(ccc(c1)Cl)O2,2.47
C1=CC2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl,3.81
O=C(NC)N(c1nnc(C(C)(C)C)s1)C,0.42
O=C(N(c1c(cccc1CC)C)COCC)CCl,1.3
O=C(Nc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(O)c1)C(Oc2ccc(cc2C(C)(C)CC)C(C)(C)CC)CC,0.49
CCCSP(=S)(Oc1ccc(cc1Cl)Cl)OCC,3.77
Nc1c(c(cc(c1Cl)Cl)Cl)Cl,2.52
Clc1c(cc(cc1)Cl)c1ccccc1,3.92
Clc1cc(cc(c1)c1ccccc1)Cl,3.44
c2c(c1cc(c(cc1Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl,5.56
Clc1cc(Cl)c(cc1c1ccc(c(c1Cl)Cl)Cl)Cl,5.88
Clc1cc(Cl)c(cc1c1cc(Cl)c(c(c1Cl)Cl)Cl)Cl,6.06
O=C5N(N=C(C)C5(N=Nc1ccc(cc1Cl)c4ccc(N=NC2C(=O)N(NC2(C))c3ccccc3)c(c4)Cl))c6ccccc6,0.6
O=C(NC(=O)c1c(F)cccc1(F))Nc2ccc(cc2)Cl,2.35
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.6
n1ccn(c1)CC(OCC=C)c2ccc(cc2Cl)Cl,1.81
Clc1c(cc(cc1)Cl)c1c(ccc(c1)Cl)Cl,4.45
Clc1cc(c(c(c1Cl)Cl)Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl,5.81
O1c3cc(c(c(c3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl)Cl)Cl,3.67
c2cc1c(cc(cc1C(C)C)C(C)C)c(c2)C(C)C,3.7
O(c1c(cc(cc1Br)Br)Br)CC(C)(CBr)Br,4.32
Fc2c(ncnc2(Oc1ccccc1Cl))Oc4ccccc4(C(=NOC)C3=NOCCO3),1.72
O=[N+]([O-])c1ccc(cc1(OP(OCC)(NC(C)CC)=S))C,2.46
O=C(c1c(cccc1)C(=O)OCCCCCCC)OCCCCCCC,0.88
Clc1cc(ccc1c1c(c(ccc1)Cl)Cl)Cl,4.53
O=C(NC(C)C)N2C(=O)N(c1cc(cc(c1)Cl)Cl)C(=O)C2,2.19
c1ccc2c(c1)cc(c3ccccc23)CC,2.71
O=C(NCCc1ccc(OCC#C)c(OC)c1)C(OCC#C)c2ccc(cc2)Cl,1.68
OC(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,3.4
OC(=O)C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,4.26
O=S(c1ccc(OP(OC)(OC)=S)cc1C)C,0.13
O=S(=O)(c1ccc(OP(OC)(OC)=S)cc1C)C,0.5
O=C(Oc1ccccc1C(C)CC)NC,0.94
c1ccc(c(c1)c2cc(ccc2Cl)Cl)Cl,4.23
Clc1c(cc(c(c1)Cl)Cl)c1cc(ccc1Cl)Cl,5.05
O2c1ccccc1COP2(OC)=S,1.35
O=C(O)CN2C(=O)Sc1cccc(c12)Cl,1.56
Clc1c(ccc(c1Cl)Cl)c1cc(ccc1Cl)Cl,4.7
Clc1cc(ccc1Cl)c1c(Cl)ccc(c1Cl)Cl,5.18
Clc1c(ccc(c1Cl)Cl)c1ccc(c(c1Cl)Cl)Cl,5.77
Clc1ccc(cc1Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl,5.88
Clc1ccc(c(c1c1c(Cl)ccc(c1Cl)Cl)Cl)Cl,5.43
Clc1cc(ccc1Cl)c1ccccc1Cl,4.57
Clc1ccc(cc1)c1ccc(c(c1)Cl)Cl,4.58
Clc1c(cccc1Cl)c1c(c(ccc1)Cl)Cl,4.2
Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)n2nc3ccccc3(n2),3.68
c2cc1ccc(cc1c(c2)C(C)C)C(C)C,3.27
Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)n1nc2c(n1)cc(cc2)Cl,3.57
o1c3c(c2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl,2.89
O1c3ccc(c(c3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl)Cl,4
Clc1c(cc(c2c1Oc1c(cccc1)O2)Cl)Cl,2.83
N#CC(OC(=O)C1C(C)(C)C1(C)(C))c3cccc(Oc2ccccc2)c3,3.04
Cc1c(c(c(c(c1Cl)Br)Br)Br)Br,3.98
O=C1OC(=NN1c2cc(OCC#C)c(cc2Cl)Cl)C(C)(C)C,2.82
Clc1cc(Cl)c(c(c1Cl)Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl,5.88
O1c3cc(c(cc3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl)Cl,4.26
O=[N+]([O-])c1cc(c(c(c1(NC(CC)CC))[N+](=O)[O-])C)C,3.71
O=C(NCCCCCCCCCCCCCCCCCC)NCCCCCCCCCCCCCCCCCC,1.48
N#CCCN(c1ccc(cc1)N=Nc1ccc(cc1)[N+](=O)[O-])CCOC(=O)c1ccccc1,0.83
BrCCCCCCCCCCBr,1.93
n1cnn(c1)[Sn](C2CCCCC2)(C3CCCCC3)C4CCCCC4,3.88
N#Cc1ccc(cc1)c2ccc(cc2)CCCCCC,3.59
Oc1c(cc(cc1C(C)(C)C)CC)C(C)(C)C,3.53
c2cc(c1cc(ccc1Cl)Cl)c(c(c2)Cl)Cl,4.84
Clc1ccc(cc1c1c(cc(cc1)Cl)Cl)Cl,4.26
Clc1c(cc(cc1)Cl)c1c(cccc1Cl)Cl,4.46
Clc1c(cc(cc1)Cl)c1cc(cc(c1)Cl)Cl,4.85
Clc1cc(Cl)c(cc1c1cccc(c1Cl)Cl)Cl,5.43
O=S(=O)(Oc1nc(nc(c1CCCC)C)NCC)N(C)C,2.27
OCCOc1c(cc(cc1Br)C(c2cc(c(OCCO)c(c2)Br)Br)(C)C)Br,2.26
CC1c2ccccc2C(CC1)C,3.12
Nc2ccc(c1ccc(N)c(c1Cl)Cl)c(c2Cl)Cl,3.41
O=C(OC)c2cc(Oc1ccc(cc1Cl)Cl)ccc2[N+](=O)[O-],3.18
O=[N+]([O-])c2ccc(Oc1ccc(cc1Cl)C(F)(F)F)cc2(OCC),3.21
CCCCCCC1CCCCC1,3.29
O=C(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C,1.81
c1ccc(cc1)c3cc(c2ccccc2)[n+](n3C)C,1.3
CC(CC(C)(C)C)(CC(CC(C)(C)C)C)C,2.85
NC(=N)NC#N,0.24
Nc1cnccc1,0.07
COc1cc(Cl)ccc1Oc1ccc(cc1Cl)Cl,3.5
C[n+]1ccc(cc1)c1cc[n+](cc1)C,0.28
O=C(O)C2(C)(CCCC3(C)(C1C(=CC(=C(C)C)CC1)CCC23)),2.17
OS(=O)(=O)c1ccc(cc1)CCCCCCCCCCCCCC,0.52
Cc1ccc2c(c1)CCCC2(C)C,3.33
Nc1cccc2cccc(c12)N,0.78
Oc1c(cccc1C1CCCCC1)C1CCCCC1,3.07
O=C1c4ccccc4(NC1=C2Nc3ccccc3(C2(=O))),0.46
Cc1c(ccc(c1C)C)C,2.82
ON(C1CCCCC1)N=O,0.45
C1CC=CCCC=CCCC=C1,3.91
C1CCC2CCCCC2(C1),3.37
C1C2C(CC1)CCCC2,2.91
O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1Cl,1.55
ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,3.95
O=C(O)c1c(cccc1Cl)Cl,0.02
Clc1c(ccc(c1C(=O)O)Cl)Cl,0.31
c1cc2c3c4c(cc5c(c14)cccc5)ccc3ccc2,2.73
O(c1c(ccc(c1Cl)Cl)Cl)C,2.53
N1C(C)CCCC1C,0.45
Nc1ccncc1,0.44
Nc1ncccc1,1.04
O=C(OC(C)C)C(C(=O)OC(C)C)=C1SCCS1,1.57
CC1=CC2CC1C(C2C(=O)O)C(=O)O,0.74
CC1(CC(CC(C1)C)C)C,3.65
O=S(=O)(O)c7cccc6c7(cc(N=Nc1ccc(cc1C)Nc2nc(nc(n2)NCCO)Nc5ccc(N=Nc4cc3c(cccc3S(=O)(=O)O)c(c4)S(=O)(=O)O)c(c5)C)cc6S(=O)(=O)O),0.5
OC(c1ccc(cc1)Cl)(c1ccc(cc1)Cl)C(=O)OCC,2.71
Clc1cc2c(oc3c2cc(c(c3)Cl)Cl)cc1Cl,3.69
O=C1N=C(N(C(=O)N1C2CCCCC2)C)N(C)C,0.84
O=[N+](c1c(ccc(c1)S(=O)(=O)Nc1ccccc1)Nc1ccccc1)[O-],1.58
O=P(OC)(OC)OC,-0.06
Oc1c(cc(cc1)[N+](=O)[O-])[N+](=O)[O-],0.31
O=C(O)C2(C)(CCCC3(C)(C1C(C=C(CC1)C(C)C)=CCC23)),1.97
O=C(O)c1ccc(c(c1)Cl)Cl,0.1
N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3,3.01
O(c1ccccc1)c2ccc(cc2Cl)Cl,3.97
N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3,2.5
O(c1ccccc1)c2cc(c(cc2Cl)Cl)Cl,3.64
c1cc(c(cc1Cl)c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl,5.54
c1cc(c(c(c1)C)C)C,2.31
O=C(C(C(C(=O)O)Br)Br)O,0.62
COP(=O)(C(C(Cl)(Cl)Cl)O)OC,-0.39
Clc1ccc(c(c1)c1cc(Cl)c(c(c1Cl)Cl)Cl)Cl,5.81
Clc1ccc(c(c1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl)Cl,5.93
Nc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,2.71
Oc1c(cc(cc1C)C)C,0.91
O=C(N(CCC)CCC)SCc1ccccc1,2.84
N#CC(OC(=O)C1C(C=C(Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3,2.83
O=[N+]([O-])c1cc(c(O)c(c1)C)[N+](=O)[O-],0.25
CC(c1cc(ccc1)C)C,2.75
c1c2c(cc3ccc4c(c13)cccc4)c1ccccc1cc2,2.8
N(=C=NC1CCCCC1)C1CCCCC1,0.09
Clc1cc2c(oc3c2cc(cc3)Cl)cc1,3.66
O(c1ccc(c(c1Cl)Cl)Cl)C,2.96
OCc1cc(cc(c1Cl)Cl)Cl,3.07
O(c1cc(c(c(c1)Cl)Cl)Cl)C,3.09
Clc1cc(ccc1)Cl,2.44
ClC1CCCCC1,2.35
O=[N+](c1cc(c(cc1)C)O)[O-],0.86
CC(CCOCCC(C)C)C,2.3
CCCCCCCCCCCCCCCC,2.68
Oc1c(cccc1C(CC)C)C(CC)C,2.47
OC(C(Oc1ccc(cc1)c2ccccc2)n3ncnc3)C(C)(C)C,2.31
OC(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C,1.32
O=C(Oc2cccc1c2(OC(C)(C)C1))N(C)SN(CCCC)CCCC,3
O=S1(=O)(C(=C(C)S(=O)(=O)CC1)C),0.63
O=C(O)COc1nc(c(cc1Cl)Cl)Cl,-0.1
O(c1ccc(c(c1)C)SC)P(OC)(OC)=S,2.39
Clc1c(ccc(c1)Cl)N,1.38
O=[N+]([O-])c1cccc(O)c1,1.4
O=[N+](c1cc(ccc1)OC)[O-],0.75
O=C(Oc1cc(nnc1c2ccccc2)Cl)SCCCCCCCC,2.06
C2(=C(C3(C1CC(CC1C2(C3(Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl,4.3
O1[Si](O[Si](O[Si](O[Si]1(C)C)(C)C)(C)C)(C)C,4.08
c1cc(cc2c1cc(cc2Cl)Cl)Cl,4.43
c1ccc2cc(ccc2(c1))SSc3ccc4ccccc4(c3),0.38
n1c(OP(OC)(OC)=S)c(cc(c1Cl)Cl)Cl,3.26
O=C(c1c(c(c(c(c1Cl)Cl)Cl)Cl)C(=O)O)N,0.49
ClC(Cl)(Cl)Cl,0.95
Clc1cc(ccc1Cl)Oc1ccc(c(c1)Cl)Cl,4.43
CCCC[Sn](O[Sn](CCCC)(CCCC)CCCC)(CCCC)CCCC,3.99
O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1,2.05
FC(F)(F)Oc1ccc(cc1)C(O)(c2cncnc2)C(C)C,1.54
c1c2c(cc3ccc4c(c13)cccc4)cccc2,2.48
Clc1cc(cc(c1c1c(cccc1Cl)Cl)Cl)Cl,4.81
Clc1c(cc(cc1)c1c(cc(cc1Cl)Cl)Cl)Cl,4.81
CCOP(=S)(Oc1ccc2c(c1)oc(=O)c(c2C)Cl)OCC,2.73
c1ccc(cc1)C(c2ccc(cc2)N(C)C)=C3C=CC(C=C3)=[N+](C)C,1.86
O(c1c(cc(cc1Cl)C)Cl)P(OC)(OC)=S,2.85
O=C(O)C2(C)(CCCC3(c1cc(c(c(c1CCC23)Cl)C(C)C)Cl)(C)),2.18
c1ccc(cc1)c2ccc(cc2)CC,2.82
o2c1cc(c(cc1c3cc(c(c(c23)Cl)Cl)Cl)Cl)Cl,4.13
o2c1cc(c(cc1c3ccc(c(c23)Cl)Cl)Cl)Cl,2.72
o2c1cc(c(cc1c3c2cc(c(c3Cl)Cl)Cl)Cl)Cl,3.58
o2c1c(ccc(c1Cl)Cl)c3cc(c(c(c23)Cl)Cl)Cl,3.57
o2c1cc(c(c(c1c3cc(c(c(c23)Cl)Cl)Cl)Cl)Cl)Cl,3.94
CC(C(Cl)(Cl)Cl)(C)O,0.27
Clc1c(ccc(c1)c1cc(c(c(c1)Cl)Cl)Cl)Cl,4.68
Cc1cc(cc2c1cccc2)C,3.37
O=C(O)C1CCC(C)CC1(C(=O)O),0.11
Clc1c(cccc1Cl)O,1.23
O1c3cc(c(c(c3(Oc2cc(c(c(c12)Cl)Cl)Cl))Cl)Cl)Cl,3.93
O=C(OCC(CC)CCCC)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,0.72
ClC12C3C(C(C1(Cl)Cl)(C(=C2Cl)Cl)Cl)C(C(C3)Cl)Cl,4.29
O=C(OC)C(N(C(=O)COC)c1c(cccc1C)C)C,0.84
CN(c1ccccc1)C(=O)C,0.07
O=C(OC=1C(=O)c2ccccc2(C(=O)C=1CCCCCCCCCCCC))C,2.38
Cc1cc2c(cc1C)cccc2,2.71
SC1=Nc2c(cccc2)N1,0.41
O=C(O)C1(C)(CCCC2(C)(C3C(=CCC12)CC(C=C)(C)CC3)),1.63
Oc1c(ccc(c1)Cl)Cl,1.11
Clc1c(c(cc(c1Cl)Cl)Cl)O,2.16
O=C1NC(=C(C(=O)N1C(C)(C)C)Cl)C,0.78
Clc1c(ccc(c1)Cl)Oc1ccc(cc1)Cl,3.79
c1ccc(cc1)c2c(cc(cc2Br)Br)Br,3.87
c2cc(c(c1c(cccc1Br)Br)c(c2)Br)Br,4.97
Oc1cccc(c1)Br,1.1
Nc1cc(ccc1)O,1.22
Oc1cc(cc(c1)Cl)Cl,1.92
n1c(nc(nc1NC(C)(C)C)Cl)NCC,0.84
c2c(cc(c(c1c(cc(cc1Br)Br)Br)c2Br)Br)Br,4.66
Clc1c(cccc1)C(O)CO,0.39
Cc1cc(ccc1Cl)O,0.98
O=C(ON=C(C)SC)N(C)SN(C(=O)ON=C(C)SC)C,0.8
O=C1c2ccccc2C(=O)c2c1c(cc(c2N)Oc1ccc(cc1)Br)O,2.02
Clc1c(cc(c(c1)Cl)Cl)Oc1ccc(cc1Cl)Cl,4.21
Clc1cc(ccc1Cl)Oc1c(cc(c(c1)Cl)Cl)Cl,4.08
Clc1cc(c(cc1)Cl)c1c(cc(cc1Cl)Cl)Cl,4.58
OC(c1cncnc1)(c2ccc(cc2)Cl)c3ccccc3Cl,2.05
n1cnn(c1)CC2(OCC(O2)CCC)c3ccc(cc3Cl)Cl,2.06
CCOCC,0.61
O=C(c1cccc(c1C(=O)O)[N+](=O)[O-])O,0.55
c1c(c2c(cc1)cccc2)c1ccccc1,3.51
S=P(SCC(=O)NC)(OC)OC,0.18
O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl,3.89
O=[N+]([O-])c1cccc(c1C)[N+](=O)[O-],1.34
O=C(c1ccccc1C(=O)OC)c1ccccc1,1.01
CCCCCCCCCCCCCOP(Oc1ccccc1)Oc1ccccc1,1.55
CCCCCC[Si](CCCCCC)(CCCCCC)O,2.11
o2c1c(cc(c(c1Cl)Cl)Cl)c3cc(c(c(c23)Cl)Cl)Cl,3.98
C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,2.81
Clc1c(c(cc(c1Cl)Cl)Cl)Cl,3.84
Oc1c(cc(cc1Cl)Cl)[N+](=O)[O-],1.35
O=[N+](c1ccc(cc1[N+](=O)[O-])C)[O-],0.21
O=[N+]([O-])c1ccc(cc1Cl)Cl,2.07
Cc1ccccc1NC,0.9
O=C2N(c1cccc(c1)C(F)(F)F)CC(CCl)C2Cl,2.46
CCc1c(cccc1)[N+](=O)[O-],1.14
O(c1cc(c(cc1Cl)Cl)Cl)C,2.8
Cc1cc2c(cc3c(c2)cccc3)cc1,2.41
Clc1c(cc(c(c1)Cl)Cl)Oc1ccc(cc1)Cl,4.11
Clc1cc(ccc1Cl)Oc1c(cc(cc1)Cl)Cl,4.24
Brc1cc(ccc1Br)Br,3.52
Oc1cc(ccc1Cl)C,0.62
Cc1cscc1,0.72
c1ccc(cc1)C(c2cc(ccc2C)C)C,2.86
C1=NN=C(N1)N,0.24
O=[N+]([O-])c1cc(cc(c1)Cl)Cl,2.23
O=C(OCc2cccc(Oc1ccccc1)c2)C3C(C=C(Cl)Cl)C3(C)(C),2.65
O=C(OCCN(c1cc(c(cc1)N=Nc1ccc(cc1Cl)[N+](=O)[O-])NC(=O)CC)CCOC(=O)C)C,0.73
CCNc1ccc(cc1)C,0.52
C=Cc1ccc(cc1)C,1.5
N#Cc1ccc(cc1)C#N,0.23
CCCCCCCC(C(C)(C)C)C,3.34
CC(=O)Nc1ccc(cc1)OCC,1.23
Nc1ccccc1,0.26
NC(=S)N,0.05
Clc1c(c2c(oc3c2cc(cc3)Cl)cc1Cl)Cl,3.11
N#Cc1cc(ccc1)C#N,0.58
Brc1cc(cc(c1)Br)Br,3.62
CN1CCCCC1,0.51
O=P(OC=C(Cl)Cl)(OC)OC,-0.25
O=C(O)CCCCCCCCCCC,2.4
CCCCCCCCCCCCCCC,1.38
O=C(Oc1cccc2ccccc12)NC,1.3
Clc1c(ccc(c1Cl)Cl)Cl,3.52
Nc1ccc(c(c1Cl)Cl)Cl,2
Nc1cc(c(c(c1Cl)Cl)Cl)Cl,2.21
c1c(cc(c(c1Cl)Cl)Cl)Cl,3.36
Nc1cc(c(c(c1)Cl)Cl)Cl,2.36
Nc1c(cc(cc1Cl)Cl)Cl,2.04
O=C(Nc1ccccc1)C(N=Nc2ccc(cc2Cl)c4ccc(N=NC(C(=O)Nc3ccccc3)C(=O)C)c(c4)Cl)C(=O)C,0.62
c1c(c(cc(c1Br)Br)Br)Br,3.7
Nc1cc(c(cc1Cl)Cl)Cl,2.33
c1ccc(cc1)[Sn](c2ccccc2)(c3ccccc3)Cl,3.14
O=S(=O)(O)c6cc5ccc(O)c(N=Nc1ccc(cc1C)c4ccc(N=Nc3ccc(OS(=O)(=O)c2ccc(cc2)C)cc3)c(c4)C)c5c(c6)S(=O)(=O)O,1.84
O=C(NC(=O)c1ccccc1Cl)Nc2ccc(OC(F)(F)F)cc2,2.79
O=C(OC(C)C)C=C(C=CCC(C)CCCC(OC)(C)C)C,2.66
O=C(Nc1ccccc1)N(Cc2ccc(cc2)Cl)C3CCCC3,2.35
n1c(nc(nc1N)NC2CC2)N,0
n1cnn(c1)CC(c2ccc(cc2Cl)Cl)CCC,1.97
O=C(Nc1cccc(OC(C)C)c1)c2ccccc2C(F)(F)F,1.65
c1c(c(cc(c1Cl)Cl)Cl)C,3.78
O=C(OCC)C(Oc3ccc(Oc1nc2ccc(cc2(o1))Cl)cc3)C,0.69
O=C(O)C(C)Cc1ccc(cc1)C(C)(C)C,0.63
